작가명,작가 영문명,작품명,분류,경로 분류,수집년도,소장 미술관,활동국가,국적
백남준 외,"Nam June Paik, Jud Yalkut",Video Tape Study No. 3,미디어,민간기부,1999,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik, Jud Yalkut",Electronic Moon No. 2,미디어,민간기부,1999,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik, Jud Yalkut",Waiting for Commercials,미디어,민간기부,1999,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik, Jud Yalkut",Video-Film Concert,미디어,민간기부,1999,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik, Jud Yalkut",Electronic Fables,미디어,민간기부,1999,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik with Paul Garrin, Betsy Connors",Living with the Living Theatre,미디어,작가기증,1992,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik, Dimitri Devyatkin",Media Shuttle: Moscow/New York,미디어,작가기증,1992,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik, Shigeko Kubota",Allan 'n' Allen's Complaint,미디어,민간기부,2008,뉴욕현대미술관,"영국, 미국",
백남준 외,Various Artists,The New York Collection for Stockholm,포트폴리오,민간기증,1973,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik, Otto Piene",Untitled,오브제/조각,복합,2000,뉴욕현대미술관,"영국, 미국",
백남준&닥터 매튜 이항만,Nam June Paik& Dr. Matthew H.M. Lee,A Healer's Hand (ML),사진,민간기증,2001,휘트니 미술관,"영국, 미국",
백남준&닥터 매튜 이항만,Nam June Paik& Dr. Matthew H.M. Lee,The Artist (NJP),사진,민간기증,2001,휘트니 미술관,"영국, 미국",
백남준&제프리 퍼킨스,"Nam June Paik, Jeffrey Perkins",Untitled (Jeff Perkins' Taxi Driver's License),판화,민간기부,2008,휘트니 미술관,"영국, 미국",
백남준&플럭서스,"Fluxus, Nam June Paik",Zen For Film,판화,공공기부,1994,휘트니 미술관,"영국, 미국",
백남준&플럭서스,"Fluxus, Nam June Paik",N.J. PAIK: FLUXUS Island in Decollage OCEAN,판화,공공기부,1994,휘트니 미술관,"영국, 미국",
변관식,Byeon Gwan-sik,"Fish, Flowers and Rock",회화,민간기증,2004,허버트 존슨 미술관,,
변관식,Byeon Gwan-sik,Mountain Landscape,회화,민간기증,2004,허버트 존슨 미술관,,
변관식,Byeon Gwan-sik,Mountain Landscape,회화,민간기증,2004,허버트 존슨 미술관,,
서도호,DoHo Suh,Blue Green Bridge,설치,민간기부,2000,구겐하임,"영국, 미국, 런던",
서도호,DoHo Suh,Karma Juggler,판화,공공기증,2012,뉴욕현대미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Who Am We? (Multi),판화,민간기증,2011,뉴욕현대미술관,"영국, 미국, 런던",
서도호,DoHo Suh,"348 West 22nd St., Apt. A New York, NY 10011 at Rodin Gallery, Seoul/Tokyo Opera City Art Gallery/Serpentine Gallery, London/BiennaleofSydney/SeattleArt Museum/SmithCollegeMuseumofArt, Northhampton/NorthCarolinaMuseum ofArt",설치,민간기증,2015,뉴욕현대미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Who Am We?,판화,민간기부,2000,뉴욕현대미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Doormat: Welcome,조각/설치,민간기부,1998,뉴욕현대미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Karma Juggler,현대미술,공공기증,2013,브루클린 미술관,"영국, 미국, 런던",
서도호,DoHo Suh,The Perfect Home II,현대미술,민간기증,2017,브루클린 미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Doormat: Welcome (Green),현대미술,민간기부,2001,브루클린 미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Bowl with Hands,현대미술,민간기증,2015,브루클린 미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Bowl with Hands,현대미술,민간기증,2015,브루클린 미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Karma Juggler,판화,공공기부,2012,휘트니 미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Dream House,드로잉,공공기부,2003,휘트니 미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Some/One,조각,복합,2001,휘트니 미술관,"영국, 미국, 런던",
서도호,DoHo Suh,Untitled (vase with molded human hands),조각,민간기증,2004,허버트 존슨 미술관,"영국, 미국, 런던",
서병오,Seo Byeong-O,Orchid and Rock,회화,민간기금,2013,허버트 존슨 미술관,한국,
설원지,Won-Gi Sul,Hail,회화,민간기증,1995,메트로폴리탄,,
성능경,Sung Neung Kyung,No Relationship to a Particular Person 2,사진,공공기부,2024,뉴욕현대미술관,,
성능경,Sung Neung Kyung,Venue 5,사진,공공기부,2024,뉴욕현대미술관,,
세오(서수경),SEO(Seo Soo-Kyoung),Berg und Mensch V,회화,공공기증,2005,뉴욕현대미술관,베를린,
세오(서수경),SEO(Seo Soo-Kyoung),Berg und Mensch VI,회화,공공기증,2005,뉴욕현대미술관,베를린,
세오(서수경),SEO(Seo Soo-Kyoung),Berg und Mensch VII,회화,공공기증,2005,뉴욕현대미술관,베를린,
세오(서수경),SEO(Seo Soo-Kyoung),Berg und Mensch VIII,회화,공공기증,2005,뉴욕현대미술관,베를린,
세오(서수경),SEO(Seo Soo-Kyoung),Berg und Mensch IX,회화,공공기증,2005,뉴욕현대미술관,베를린,
세오(서수경),SEO(Seo Soo-Kyoung),Berg und Mensch X,회화,공공기증,2005,뉴욕현대미술관,베를린,
손사라,Sarah Sohn,Time is Not Waiting For Us,판화,민간 기증,2013,시카고 미술관,,
시온(현경),Hyon Gyon,Eleven Minutes,회화,작가기증,2014,브루클린 미술관,,
신상호,Shin Sang Ho,Horse,조각,-,-,메트로폴리탄,,
신혜지,Heji Shin,Big Nude II,사진,민간기부,2023,뉴욕현대미술관,미국,
아니카 이,Anicka Yi,Untitled from Art Against Immigration Ban Letter Portfolio,드로잉,민간기증,2017,뉴욕현대미술관,미국,
아니카 이,Anicka Yi,Shameplex,조각/설치,공공기부,2017,뉴욕현대미술관,미국,
아니카 이,Anicka Yi,The Flavor Genome,미디어아트,민간기증,2017,휘트니 미술관,미국,
아니카 이,Anicka Yi,Early Classical II,조각,공공기부,2016,휘트니 미술관,미국,
아니카 이,Anicka Yi,Convox Dialer Double Distance Of A Shining Path,조각,공공기부,2016,휘트니 미술관,미국,
아니카 이 외,Anicka Yi(Various Artists),Art Against Immigration Ban Letter Portfolio,드로잉/프린트,민간기증,2017,뉴욕현대미술관,미국,
안동국,Dongkuk S. Ahn,"Rupa, Ephemeral",판화,작가기증,1966,뉴욕현대미술관,미국,
안성금,Sung-Keum Ahn,Long Way,회화,민간 기증,2004,시카고 미술관,,
양혜규,Haegue Yang,Series of Vulnerable Arrangements—Voice and Wind,설치,공공기금,2011,구겐하임,"독일, 한국",
양혜규,Haegue Yang,Spice Moons,프린트,민간기부,2024,뉴욕현대미술관,"독일, 한국",
양혜규,Haegue Yang,Clappers – Trustworthy Off Horizons #133,프린트,민간기부,2011,뉴욕현대미술관,"독일, 한국",
양혜규,Haegue Yang,Cup Cosies (for Parkett no. 89),조각/설치,민간기부,2011,뉴욕현대미술관,"독일, 한국",
양혜규,Haegue Yang,Can Cosies – Pomodori Pelati 400g,조각/설치,민간기부,2024,뉴욕현대미술관,"독일, 한국",
양혜규,Haegue Yang,Sallim,설치,복합,2010,뉴욕현대미술관,"독일, 한국",
양혜규,Haegue Yang,Traces of Anonymous Pupil Authors,드로잉,민간기부,2010,뉴욕현대미술관,"독일, 한국",
양혜규 외,Haegue Yang(Various Artists with),Parkett no. 89,도서,공공기증,2011,뉴욕현대미술관,"독일, 한국",
윤동구,Dong-Koo Yun,Untitled,회화,민간기증,1995,메트로폴리탄,,
윤명로,Youn Myeongro,Untitled,회화,민간기금,2018,허버트 존슨 미술관,,
윤용구,Yun Yong-gu,Pair of Calligraphy,서예,민간기증,2011,허버트 존슨 미술관,,
윤용구,Yun Yong-gu,Falling Bamboo,회화,민간기금,2013,허버트 존슨 미술관,,
윤용구,Yoon Yong-gu,Beauty under a willow tree,회화/서예,민간 기증,2023,시카고 미술관,,
윤용구,Yoon Yong-gu,Calligraphy,회화/서예,민간 기증,2023,시카고 미술관,,
윤형근,Yun Hyong-Keun,Untitled,회화,민간 기증(사전),2016,시카고 미술관,,
이도영,Yi Do-Yeong,"Peony, Rock, and Flowering Grass",회화,민간기금,2008,허버트 존슨 미술관,,
이미경,Lee Mi-kyung,Sketchbook drawing,회화/서예,민간 기금,2004,시카고 미술관,,
이불,Lee Bul,Untitled (cyborg leg),조각,공공기증,2023,메트로폴리탄,"일본, 미국",
이불,Lee Bul,Untitled (cyborg pelvis),조각,공공기증,2023,메트로폴리탄,"일본, 미국",
이불,Lee Bul,Drifting Ashen Flake Opaque,조각,공공기금,2013,구겐하임,"일본, 미국",
이불,Lee Bul,Against Oblivion,조각,공공기금,2013,구겐하임,"일본, 미국",
이상범,Lee Sangbeom (Yi Sang-bom),Brook and Pavilion in Autumn,회화,민간기증,2004,허버트 존슨 미술관,,
이수원,Suwon Lee,The most dangerous city in the world,사진,복합,2017,뉴욕현대미술관,,
이수원,Suwon Lee,Purple Haze,사진,복합,2017,뉴욕현대미술관,,
이수원,Suwon Lee,Lights On,사진,복합,2017,뉴욕현대미술관,,
이승조,Lee Seung Jio,Nucleus F-G-999,회화,복합,2021,뉴욕현대미술관,,
이우환,Lee Ufan,Dialogue,회화,민간기증,2011,구겐하임,"일본, 프랑스, 한국",
이우환,Lee Ufan,Relatum—dissonance,조각,민간기증,2011,구겐하임,"일본, 프랑스, 한국",
